UniqueSite,Site_Lat,Site_Long,ReefCluster,Larger,Biomass_above20cm,Protection,DepthCategory,CleanHabitat,CensusMethod,Total_sampling_area,Regional_population_growth,Ocean_prod,Climate_stress,HDI,Larger_pop_size,Reef_fish_landings_per_km2,MPAage3,NTZarea,Geographic_Basin,Biomass...some.families,Local,Atoll,Gini_lastdata,EPI_2018,GDP,Control_corruption,Rule_of_law,Sedimentation,Annual_tourist_number,Locality,gravtot5001,gravtot5002,gravtot5003,Trait_diversity,Scraping_potential,MPAage
102,2.2929,118.26196,RC_9,Indonesia,84.8538228,Restricted,0-4m,Slope,Standard belt transect,750,21.21658193,0.456,0.794524012,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,228.5840263,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.629946548,3788,NA,8531.355175,7.960216418,0.011720177,1.66957814,305.7885683,0
103,2.70468,95.75529,RC_10,Indonesia,157.512311,Fished,0-4m,Crest,Standard belt transect,750,9.82224785,0.17,0.906627298,0.662,240676485,6.678729675,0,0,Western Indo-Pacific,236.3060111,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.209833435,3788,Indonesia,28975.36096,934.142913,371.8391452,1.941895781,18.63334048,0
105,-0.00927,127.172659,RC_11,Indonesia,126.279381,Fished,0-4m,Slope,Standard belt transect,500,0.530811459,0.21,0.866519787,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,221.8347469,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.315115264,3788,Indonesia,6211.391174,10.09672337,0.063104727,2.085577844,34.37234477,0
106,-0.00927,127.172659,RC_11,Indonesia,47.20177031,Fished,4-10m,Slope,Standard belt transect,500,0.530811459,0.21,0.866519787,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,93.52221555,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.315115264,3788,Indonesia,6211.391174,10.09672337,0.063104727,2.918593256,25.46599875,0
107,-1.203033333,129.6543833,RC_13,Indonesia,842.8737597,Restricted,4-10m,Slope,Standard belt transect,750,24.37814037,0.354,0.849682339,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,980.7041095,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.493176481,3788,Indonesia,3357.868274,3.546012385,0.006317583,4.058073926,258.2396417,0
108,-1.226133333,129.6499833,RC_13,Indonesia,218.3271568,Restricted,4-10m,Slope,Standard belt transect,750,24.37814037,0.354,0.849682339,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,274.2566528,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.493176481,3788,Indonesia,3447.469284,3.893487885,0.012941507,2.592760684,228.3124196,0
123,-5.86211,110.60538,RC_14,Indonesia,0,Fished,0-4m,Flat,Standard belt transect,1000,5.009707588,0.326,0.825689696,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,5.061457347,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.418035989,3788,Indonesia,204108.0444,354.3261466,0.707493309,1.911026844,5.596843863,0
124,-5.86211,110.60538,RC_14,Indonesia,9.807776619,Fished,4-10m,Flat,Standard belt transect,1000,5.009707588,0.326,0.825689696,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,37.45483194,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.418035989,3788,Indonesia,204108.0444,354.3261466,0.707493309,2.038458766,14.48727375,0
131,-5.8336,110.60616,RC_14,Indonesia,0,Fished,0-4m,Slope,Standard belt transect,1000,5.009707588,0.326,0.825689696,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,50.85788961,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.418035989,3788,Indonesia,201016.3254,342.3818307,0.645078579,1.75315516,102.0335632,0
132,-5.8336,110.60616,RC_14,Indonesia,20.98432686,Fished,4-10m,Slope,Standard belt transect,1000,5.009707588,0.326,0.825689696,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,46.87953295,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.418035989,3788,Indonesia,201016.3254,342.3818307,0.645078579,1.789385887,52.57529544,0
139,-5.84098,110.61131,RC_14,Indonesia,6.251923442,Fished,0-4m,Slope,Standard belt transect,1000,5.009707588,0.326,0.825689696,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,8.881709592,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.418035989,3788,Indonesia,202422.8623,347.8509778,0.662345527,2.250869106,2.798421931,0
140,-5.84098,110.61131,RC_14,Indonesia,36.92674892,Fished,4-10m,Slope,Standard belt transect,1000,5.009707588,0.326,0.825689696,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,62.41776285,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.418035989,3788,Indonesia,202422.8623,347.8509778,0.662345527,2.147168231,40.95119009,0
177,-1.146533333,129.7700333,RC_16,Indonesia,164.8783099,Restricted,4-10m,Slope,Standard belt transect,750,24.37701896,0.362,0.843931852,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,370.5855037,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.507574907,3788,Indonesia,3361.638889,3.798363018,0.015754361,2.304013204,471.9568941,0
178,2.13813,118.51347,RC_17,Indonesia,879.1572516,Restricted,0-4m,Crest,Standard belt transect,750,21.21955595,0.361,0.786112974,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,986.3044744,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.55923606,3788,NA,8591.607869,7.796156285,0.009416697,4.026322917,671.9747025,0
179,-1.15445,129.84505,RC_18,Indonesia,78.82509362,Restricted,4-10m,Slope,Standard belt transect,750,24.3769386,0.372,0.838821149,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,117.8030722,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.519940547,3788,Indonesia,3310.546198,3.72438302,0.007745837,2.89183114,28.36690713,0
